latte,40,2021-07-06T%H:13:15
latte,40,2021-07-06T%H:13:16
tea,20,2021-07-06T%H:13:17
ชาดำเย็น,30,2021-07-06T%H:13:24
coke,20,2021-07-06T%H:13:24
tea,20,2021-07-06T%H:13:43
water,15,2021-07-06T%H:13:44
water,15,2021-07-06T10:19:58
กาแฟดำ,25,2021-07-06T10:19:59
water,15,2021-07-06T10:19:59
tea,20,2021-07-06T10:20:00
thai tea,30,2021-07-06T10:20:00
กาแฟดำ,25,2021-07-06T10:20:01
ชาดำเย็น,30,2021-07-06T10:20:01
ชาดำเย็น,30,2021-07-06Time10:20:56
ชาดำเย็น,30,2021-07-06Time10:20:56
ชาดำเย็น,30,2021-07-06Time10:20:56
กาแฟดำ,25,2021-07-06Time10:20:57
กาแฟดำ,25,2021-07-06Time10:20:57
กาแฟดำ,25,2021-07-06Time10:20:58
กาแฟดำ,25,2021-07-06Time10:20:58
กาแฟดำ,25,2021-07-06Time10:20:58
กาแฟดำ,25,2021-07-06Time10:20:59
water,15,2021-07-06Time10:44:27
ชาดำเย็น,30,2021-07-06Time10:44:32
water,15,2021-07-06Time10:44:33
กาแฟดำ,25,2021-07-06Time10:44:33
espresso,50,2021-07-06Time10:44:34
latte,40,2021-07-06Time10:44:35
mocha,30,2021-07-06Time10:44:36
green tea,25,2021-07-06Time10:44:36
latte,40,2021-07-06Time10:44:39
water,15,2021-07-06Time10:44:40
coke,20,2021-07-06Time10:44:41
ชาดำเย็น,30,2021-07-06Time10:44:42
กาแฟดำ,25,2021-07-06Time10:44:43
latte,40,2021-07-06Time10:44:44
